paper_id,mfn_authors,unknown_authors,publication_date,year,title,journal,volume,issue,page_info,publisher,identifier_type,upload_id,access,publication_type,publication_subtype,keyword
2656.0,"Wünnemann, K.; Luther, R.; Hamann, C.","Raducan, S.; Ormö, J.; Herreros, I.; Zhang, Y.; Collins, G.; Michel, P.; Jutzi, M.",2021-04-28,2021.0,Cratering processes on rubble-pile asteroids:,Planetary Defence Conference,7,,,IAA,internal-id,061d5446-f1c3-4c38-adff-a8dcbdfe5c0d,open_access,konfpo,konferenzbeitragpaper,"(<=2020) Department: Impact and Meteorite Research; Department: Solar System, Impacts and Meteorites; Laboratory: Geochemical and microanalytical facilities; Laboratory: Computer cluster"
2127.0,"Blaimer, B.",,2021-01-01,2021.0,Crematogaster,Encyclopedia of Social Insects,,,310-314,Springer International Publishing,doi,10.1007/978-3-319-90306-4_159-1,closed_access,artikel,sammelbandbeitrag,Department: Biodiversity Discovery; Department: Center for Integrated Biodiversity Discovery
2516.0,"Fernandez, A.; Knörnschild, M.","Ter Haar, S.; Gratier, M.; Levelt, C.; Moore, R.; Vellema, M.; Wang, X.; Oller, D.",2021-09-06,2021.0,Cross-species parallels in babbling: animals and algorithms,Philosophical Transactions of the Royal Society B: Biological Sciences,376,1836,20200239,The Royal Society,doi,10.1098/rstb.2020.0239,open_access,artikel,peerrevartikel,Department: Microevolution; Collection: Tierstimmenarchiv; Laboratory: Bioacoustic lab
2772.0,"Giere, P.","Castelin, M.; Blettery, J.; Paleco, C.; Rey, I.; Santos, C.; Babocsay, G.; Mergen, P.; Akkari, N.; Schiller, E.; Schweiger, S.; Wiltschke, K.; Holtstam, D.; Langhof, J.; Fulcher, T.; Paton, A.; Smirnova, L.; Theeten, F.; Aronsson, H.; Obst, M.; De Boer, H.; Van  Steenberge, M.; Casino, A.; Tilley, L.",2021-04-30,2021.0,"D2.3 CATALOGUE AND RECOMMENDATIONS FOR THE DEVELOPMENT OF A PROACTIVE, EFFICIENT AND EVOLVING DISSCO TRAINING PROGRAMME",,,,1-87,,internal-id,1a7166a7-c903-4d70-aa63-51132e5455b3,embargoed_access,graueliteratur,bericht,Department: Collection Management
2201.0,,"Kremer, N.; Waldherr, E.",2021-04-28,2021.0,Das barrierefreie Krokodil - ein Exponat für die Sinne,,,,,MfN,internal-id,d09cf678-1c36-4dda-8768-007f579c5b57,open_access,graueliteratur,bericht,Department: Science Data Management; Department: Collection Innovation and Transfer
2276.0,"Nadim, T.",,2021-01-11,2021.0,Database,Uncertain Archives: Critical Keywords for Big Data,,,125-133,MIT Press,internal-id,0f02c5d4-ff30-41a2-9a70-53e265a57234,closed_access,artikel,sammelbandbeitrag,Department: Humanities of Nature
2774.0,"Rintelen, T.","Tu, D.; Thu, C.",2021-02-22,2021.0,Deep into darkness: the first stygobitic species of freshwater shrimp of the genus Caridina (Crustacea: Decapoda: Atyidae) from Northern Vietnam,Zootaxa,4933,3,422-434,Magnolia Press,doi,10.11646/zootaxa.4933.3.8,closed_access,artikel,peerrevartikel,"Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Department: Center for Integrated Biodiversity Discovery"
2689.0,"Moormann, A.","Polte, S.",2021-09-14,2021.0,Der Einfluss von originalen Naturobjekten auf die Lernerfahrungen von Schülerinnen und Schülern am außerschulischen Lernort Naturkundemuseum,,,,25,,internal-id,85335e26-f710-4f85-8385-286ea860566d,closed_access,konfpo,konferenzbeitragpaper,"Department: Innovation in Public Engagement, Participation and Open Science"
2609.0,,"Knittel, M.; Nyffeler, R.",2021-06-30,2021.0,Der Hortus siccus Societatis physicae Tigurinae,Vierteljahrsschrift der Naturforschenden Gesellschaft Zürich,166,2,12-15,,internal-id,b661d0d9-ff94-49f3-8c97-cbe604b806b6,open_access,artikel,populartikel,Department: Humanities of Nature
2809.0,"Mey, W.; Léger, T.",,2021-07-17,2021.0,Description of a new endemic genus of the Namib Desert and adjacent biomes in Namibia (Tineoidea: Tineidae: Hapsiferinae),Metamorphosis,32,,36-42,,internal-id,31cece79-08fb-40ab-9447-8b742a45e03a,open_access,artikel,wissartikel,This publication is a species description; (<=2020) Department: Biodiversity Discovery
2787.0,"Rintelen, T.","Tu, D.; Dong, D.",2021-07-12,2021.0,Description of one new species of freshwater shrimp of the genus Caridina (Crustacea: Decapoda: Atyidae) from two karst caves of Northern Vietnam,Zootaxa,4999,3,228-242,Magnolia Press,doi,10.11646/zootaxa.4999.3.3,closed_access,artikel,peerrevartikel,"Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Department: Center for Integrated Biodiversity Discovery"
2514.0,"Giere, P.","Sarropoulos, I.; Sepp, M.; Frömel, R.; Leiss, K.; Trost, N.; Leushkin, E.; Okonechnikov, K.; Joshi, P.; Kutscher, L.; Cardoso-Moreira, M.; Pfister, S.; Kaessmann, H.",2021-07-29,2021.0,Developmental and evolutionary dynamics of cis-regulatory elements in mouse cerebellar cells,Science,373,6558,983-+,American Association for the Advancement of Science (AAAS),doi,10.1126/science.abg4696,open_access,artikel,peerrevartikel,Multidisciplinary; Department: Evolutionary Morphology
2720.0,"Korn, D.","Gursky, H.; Brauckmann, C.; Jantosch, A.",2021-08-01,2021.0,Die „Kulm-Tonschiefer“ des Oberharzes und ihre Liegendschichten (Mississippium/Unterkarbon),Clausthaler Geowissenschaften,11,,55-78,,internal-id,663a2ccb-7336-4421-ad9a-2aaacf531c09,closed_access,artikel,wissartikel,Department: Diversity Dynamics
2240.0,"Frisch, J.",,2021-01-31,2021.0,Die Käferfauna des NSG Haimberg bei Mittelrode und angrenzender Flächen (Insecta: Coleoptera). Addenda et Corrigenda 1. Fünf Neumeldungen für die Hessenfauna.,Beiträge zur Naturkunde in Osthessen,57,,65-69,Verein für Naturkunde in Osthessen,internal-id,28ae3fb6-63b6-4295-8d67-aab481e5ded7,closed_access,artikel,wissartikel,This publication cites MfN collection specimens; Department: Biodiversity Discovery; Collection: Coleoptera
2652.0,"Herrmann, E.; Rißberger, M.",,2021-12-01,2021.0,Die Metamorphose der Bibliothek am Museum für Naturkunde,BuB: Forum Bibliothek und Information,73,12,686-687,Berufsverband Information Bibliothek,internal-id,b579c968-82ff-4da6-a76d-1b56a0175871,closed_access,artikel,wissartikel,Department: Science Data Management and Informatics Infrastructure; Collection: Bibliothek; Department: Information Supply and Information Management
2444.0,"Amson, E.; Bibi, F.",,2021-04-29,2021.0,Differing effects of size and lifestyle on bone structure in mammals,BMC Biology,19,1,Article Number: 87,Springer Science and Business Media LLC,doi,10.1186/s12915-021-01016-1,open_access,artikel,peerrevartikel,"Biotechnology; Plant Science; General Biochemistry, Genetics and Molecular Biology; Department: Evolutionary Morphology"
